conference_id,conference_name,publication_id,publication_title,publication_date,doi
3722,test,8161,Large-Scale Railway Network Design and Decomposition,2018-01-01,10.1109/MLSD.2018.8551788
3722,test,8159,Анализ алгоритма с отсевом активных пользователей для генерации неориентированных графов со статистическими свойствами, схожими с социальными сетями,2018-01-01,
3722,test,8158,Анализ модели с отсевом активных пользователей для случая неориентированных графов,2018-01-01,
2132,test,8157,Моделирование графов социальных сетей с помощью комбинации алгоритмов,2018-01-01,
1952,test,8155,Об интерпретации значений анизотропийной нормы случайных векторов,2018-01-01,
2462,test,8154,К вопросу оценки рискового потенциала значимых объектов критической информационной инфраструктуры,2018-01-01,
1953,test,8151,Особенности геодезических потоков в метриках переменной сигнатуры: 2D и 3D,2018-01-01,
3722,test,8140,Прогнозирование эффективности создания транспортно-логистических систем на основе беспилотных воздушных судов,2018-01-01,
3722,test,8139,Эконометрический анализ финансовых и макроэкономических индексов для проверки наличия предвестников южно-азиатского финансового кризиса,2018-01-01,
3722,test,8138,Применение методов анализа временных рядов для определения предвестников финансовых кризисов,2018-01-01,
3722,test,8137,Econometrics methods for predictability of financial crises on example Asian crisis,2018-01-01,10.1109/MLSD.2018.8551878
3722,test,8136,Применение эконометрических методов обнаружения структурных разрывов для  анализа и прогноза  кризисных явлений в экономике,2018-01-01,
3722,test,8135,Технологическое множество в динамической модели Леонтьева,2018-01-01,
3722,test,8134,Развитие  автоматизации производственных лабораторий предприятий технологических отраслей,2018-01-01,
3722,test,8133,Построение совершенных систем автоматизации (ЛИМС) производственных лабораторий предприятий технологических отраслей,2018-01-01,
3362,test,8131,An Experimental Research of High Temperature Strain Localization and a Method for Non-touch Measurements at a High Temperature Experiments,2018-01-01,10.1007/978-3-319-91989-8_28
2755,test,8127,Experimental studies on creep running at high temperatures over days and weeks,2018-01-01,10.1088/1742-6596/1129/1/012033
3722,test,8126,Use of Network-Centric Principles in Digital Economy Technologies,2018-01-01,10.1109/MLSD.2018.8551776
2462,test,8125,Вопросы применения технологии упреждающей критериальной адаптации для мониторинга и управления сложными системами,2018-01-01,
2462,test,8124,Проблемы надежности измерительных преобразователей,2018-01-01,
3982,test,8122,Cortical-inspired image reconstruction via sub-Riemannian geometry and hypoelliptic diffusion,2018-01-01,10.1051/proc/201864037
2499,test,8121,Динамика графов социальных сетей, построенных по алгоритму с отсевом активных узлов,2018-01-01,
2411,test,8120,Применение методов Deep Learning для оценивания показателей Ляпунова дискретных динамических систем по наблюдаемым временным рядам,2018-01-01,
2738,test,8118,Критический анализ степени влияния статистических данных на качество построения эконометрических и дискретно-оптимизационных моделей при стратегическом планировании на макроуровне,2018-01-01,
2132,test,8117,Прогноз состояния развития некоторых социально – значимых заболеваний в РФ с помощью метода ветвящихся процессов Гальтона-Ватсона,2018-01-01,
3722,test,8114,Towards Network Calculus. A Review of Theories for Dealing With Facilities of Increased Danger,2018-01-01,10.1109/MLSD.2018.8551896
3722,test,8113,От теории очередей к сетевому исчислению: исторический обзор,2018-01-01,
2462,test,8112,Организация защиты информации в системах, использующих сервис-браузеры,2018-01-01,
1919,test,8108,Об использовании следа трёхмерной полигональной модели при проверке её проходимости по заданной траектории,2018-01-01,
1953,test,8107,Оптимальное управление линейными динамическими системами дробного порядка,2018-01-01,
2001,test,8106,Исследование операций в управлении наукой: инструменты функционально-институционального анализа,2018-01-01,10.29003/m212.ORM2018_v2
2499,test,8104,Использование комплексных оценок в теории игр,2018-01-01,
2132,test,8103,Альтруистические стратегии при голосовании в стохастической среде,2017-01-01,
2059,test,8102,Методы нахождения допустимых маршрутов доставки партий вагонов с грузами потребителям и порожних вагонов от мест разгрузки к местам будущей погрузки по железнодорожной сети.,2018-01-01,
1957,test,8100,Локализация производства высокотехнологичной продукции как глобальная тенденция в условиях усиления валютных рисков (на примере авиационной техники и ее компонент),2018-01-01,
1957,test,8099,Проблемы развития сетевых организационных структур в российском наукоемком машиностроении,2018-01-01,
1957,test,8098,Экономические проблемы создания центров специализации в отраслях машиностроения (на примере авиационной промышленности),2018-01-01,
3722,test,8096,The sub-Gramian method as a tool for the automotive suspension tuning,2018-01-01,10.1109/MLSD.2018.8551798
1958,test,8094,Радиочастотный метод определения положения границ раздела между компонентами трехкомпонентной среды в емкости,2018-01-01,
1836,test,8081,Противозатратные механизмы,2018-01-01,
1959,test,8089,Недостатки управления прикладными научными исследованиями в области автоматизации промышленных предприятий, препятствующие их проведению,2018-01-01,
3722,test,8088,Database Integration in Gateway Software For the Top-level System of APCS of NPP,2018-01-01,10.1109/MLSD.2018.8551942
1961,test,8087,Существующие решения, обеспечивающие высокоточные измерения массы сжиженных углеводородных газов в автоцистернах газовозов,2018-01-01,
4445,test,8086,Analytical and Predictive Monitoring: а Cognitive-Map-Based Approach and Toolkit To Socio-Political Stability Governance Support,2018-01-01,https://doi.org/10.1016/j.ifacol.2018.11.273
3722,test,8085,ИНТЕГРАЦИЯ БАЗ ДАННЫХ В ШЛЮЗОВОМ ПРОГРАММНОМ ОБЕСПЕЧЕНИИ ДЛЯ СИСТЕМ ВЕРХНЕГО УРОВНЯ АСУ ТП АЭС,2018-01-01,
